Procedure,Step,Action,Details,Responsible
Branch Strategy,1,Feature Branches,"Create feature branches from main for each module modification","Developer"
Branch Strategy,2,Naming Convention,"Use pattern: {module-code}/{feature-description} e.g., GALLERY/photo-cache-fix","Developer"
Branch Strategy,3,Module Isolation,"Each branch should only modify ONE module","Developer"
Branch Strategy,4,Integration Branch,"Use develop branch for integration testing before main","Tech Lead"
Commit Guidelines,1,Commit Message Format,"[MODULE] Brief description - Issue #123","Developer"
Commit Guidelines,2,Example Commit,"[GALLERY] Fix fileReference cache expiration - Fixes #456","Developer"
Commit Guidelines,3,Atomic Commits,"Each commit should represent one logical change","Developer"
Commit Guidelines,4,No Cross-Module Commits,"Never combine changes from different modules in one commit","Developer"
Pull Request Process,1,PR Template,"Use PR template with module checklist","Developer"
Pull Template,Required,Module Affected,"Check only ONE module per PR","Reviewer"
Pull Template,Required,API Changes Documented,"Update API docs if endpoints changed","Developer"
Pull Template,Required,Tests Added/Updated,"Unit and integration tests included","Developer"
Pull Template,Required,No Cross-Module Violations,"Verified no direct table access","CI/CD"
Pull Template,Required,Breaking Changes Noted,"Document any breaking changes","Developer"
Code Review,1,Module Owner Review,"Module owner must approve changes to their module","Module Owner"
Code Review,2,Cross-Module Review,"If affects other modules those owners review","Tech Lead"
Code Review,3,Architecture Review,"Major changes need architecture review","Architect"
Code Review,4,Boundary Check,"Verify no module boundary violations","CI/CD"
Testing Requirements,1,Unit Tests,"All new code must have unit tests","Developer"
Testing Requirements,2,Module Isolation Tests,"Tests must mock other modules not import","Developer"
Testing Requirements,3,Integration Tests,"E2E tests for complete workflows","QA"
Testing Requirements,4,Regression Tests,"Run full test suite before merge","CI/CD"
Release Process,1,Version Tagging,"Tag releases with semantic versioning","Release Manager"
Release Process,2,Changelog,"Maintain per-module changelogs","Tech Lead"
Release Process,3,Migration Guide,"Document breaking changes and migrations","Tech Lead"
Release Process,4,Rollback Plan,"Have rollback plan for each release","DevOps"
Rollback Procedures,1,Database Migrations,"Keep backward-compatible migrations","DBA"
Rollback Procedures,2,Feature Flags,"Use feature flags for major changes","Developer"
Rollback Procedures,3,Quick Rollback,"Ability to rollback within 15 minutes","DevOps"
Rollback Procedures,4,Post-Mortem,"Document and learn from rollbacks","Team"
Emergency Fixes,1,Hotfix Branch,"Create hotfix from main: hotfix/{description}","Developer"
Emergency Fixes,2,Expedited Review,"Fast-track review for critical fixes","Tech Lead"
Emergency Fixes,3,Post-Hotfix,"Create proper fix in feature branch after","Developer"
Emergency Fixes,4,Root Cause,"Document root cause and prevention","Tech Lead"
Regression Prevention,1,Automated Tests,"All tests must pass before merge","CI/CD"
Regression Prevention,2,Module Boundary Checks,"Automated check for boundary violations","CI/CD"
Regression Prevention,3,API Contract Tests,"Verify API contracts don't break","CI/CD"
Regression Prevention,4,Smoke Tests,"Post-deploy smoke tests","DevOps"
Regression Prevention,5,Monitoring,"Monitor for errors after deployment","DevOps"
Documentation Updates,1,API Docs,"Update Swagger/OpenAPI docs","Developer"
Documentation Updates,2,Module Docs,"Update module-specific documentation","Developer"
Documentation Updates,3,README Updates,"Update main README if needed","Tech Lead"
Documentation Updates,4,Architecture Decision Records,"Document major decisions","Architect"
